"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,1.81,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,1.61,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,1.88,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,2.11,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,2.5,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,3.01,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,3.38,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,3.77,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,3.42,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,3.37,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,3.74,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,3.92,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,3.71,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-11","Nov-2021","NATUSD","National currency per US dollar","0","Units",,,1.367691,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-12","Dec-2021","NATUSD","National currency per US dollar","0","Units",,,1.397209,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,1.392743,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,1.397155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,1.357357,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,1.351738,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,1.418296,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,1.422005,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,1.459024,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,1.436478,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.496155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.570795,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.517227,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0.04,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.06,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,0.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,0.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.17,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,0.41,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,1,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,1.6,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,2.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,2.31,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,2.76,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,2.95,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,3.06,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,0.33,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,0.73,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,1.28,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,1.81,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,2.25,,
